precinctid,preston_picus,under_vote,precincts,ballots_cast,over_vote,registration,nancy_pelosi
1141,125,61,1,812,0,1047,626
1142,110,72,1,667,0,858,485
1143,153,74,1,801,0,1056,574
1144,112,56,1,713,1,928,544
1145,139,50,1,753,1,931,563
1146,142,71,1,791,0,1036,578
1147,135,56,1,734,0,927,543
1148,138,74,1,727,3,992,512
1149,144,54,1,747,0,950,549
1151,0,0,1,0,0,0,0
1152,129,56,1,671,1,898,485
1153,130,72,1,749,0,961,547
1154,0,0,1,0,0,0,0
7001,93,45,1,559,1,742,420
7002,161,81,1,997,0,1225,755
7003,135,55,1,834,0,927,644
7004,115,51,1,808,0,896,642
7005,109,47,1,755,0,853,599
7006,156,52,1,799,0,966,591
7007,121,47,1,870,0,987,702
7008,123,54,1,820,0,882,643
7009,130,54,1,750,0,931,566
7011,78,47,1,621,0,1063,496
7012,143,67,1,925,0,1034,715
7013,93,51,1,640,0,733,496
7014,141,58,1,928,0,1073,729
7015,26,7,1,81,0,113,48
7016,73,65,1,593,1,977,454
7017,57,28,1,469,0,786,384
7018,103,62,1,672,0,992,507
7019,89,54,1,696,0,945,553
7021,81,61,1,631,1,993,488
7022,67,52,1,667,0,1032,548
7023,62,50,1,671,1,938,558
7024,14,5,1,119,0,309,100
7025,32,14,1,266,0,505,220
7026,113,80,1,700,1,1022,506
7027,66,57,1,577,0,879,454
7028,65,44,1,544,0,900,435
7029,47,59,1,525,1,924,418
7030,99,64,1,558,3,787,392
7031,53,38,1,392,0,511,301
7032,81,44,1,589,2,938,462
7033,81,44,1,546,0,814,421
7034,43,49,1,515,1,954,422
7035,40,33,1,341,0,476,268
7036,90,58,1,596,0,967,448
7037,30,47,1,379,1,840,301
7038,88,52,1,595,1,960,454
7039,122,50,1,625,0,831,453
7041,7,6,1,42,0,62,29
7042,82,43,1,514,0,697,389
7043,79,58,1,640,0,990,503
7044,53,45,1,415,0,867,317
7045,103,66,1,531,0,803,362
7046,54,26,1,319,0,435,239
7047,88,56,1,602,0,858,458
7048,60,48,1,518,0,877,410
7049,88,70,1,534,1,829,375
7051,111,55,1,612,0,909,446
7052,120,69,1,675,0,894,486
7053,83,44,1,462,0,552,335
7054,88,43,1,683,0,1068,552
7101,9,9,1,126,0,150,108
7201,157,66,1,868,0,983,645
7202,156,54,1,752,1,885,541
7203,149,73,1,840,1,950,617
7204,141,56,1,833,0,933,636
7205,152,57,1,815,0,903,606
7206,58,26,1,340,0,390,256
7207,105,52,1,595,0,712,438
7208,91,58,1,539,0,635,390
7209,93,43,1,491,0,563,355
7301,158,89,1,813,0,1080,566
7302,131,74,1,732,1,862,526
7303,156,72,1,851,0,1032,623
7304,156,64,1,828,0,993,608
7305,163,61,1,772,0,906,548
7306,162,74,1,882,0,1076,646
7307,128,66,1,674,0,826,480
7308,92,45,1,548,0,641,411
7309,127,59,1,764,0,897,578
7311,133,77,1,853,0,986,643
7312,150,56,1,768,0,874,562
7313,132,80,1,798,0,1001,586
7314,95,83,1,511,0,833,333
7315,100,72,1,597,0,783,425
7316,125,50,1,661,0,893,486
7317,152,52,1,743,2,938,537
7318,105,76,1,689,0,788,508
7319,162,90,1,908,1,1123,655
7321,101,58,1,493,1,683,333
7322,64,88,1,526,0,937,374
7323,120,76,1,727,0,888,531
7324,94,74,1,601,0,756,433
7325,132,96,1,792,1,973,563
7326,138,71,1,749,0,922,540
7327,65,65,1,434,0,762,304
7328,88,96,1,617,0,1024,433
7329,115,39,1,454,0,607,300
7331,169,81,1,793,0,933,543
7332,148,59,1,718,0,889,511
7333,158,85,1,888,0,1101,645
7334,113,81,1,774,0,963,580
7335,172,58,1,894,0,1002,664
7336,177,82,1,883,2,1017,622
7337,158,67,1,755,0,944,530
7338,113,96,1,695,0,1005,486
7339,72,52,1,495,1,660,370
7341,135,67,1,765,0,974,563
7342,145,61,1,791,0,1034,585
7343,125,50,1,618,0,746,443
7344,190,72,1,916,0,1143,654
7345,184,65,1,891,0,1186,642
7346,171,51,1,762,0,991,540
7347,170,59,1,841,1,1085,611
7348,113,60,1,647,1,957,473
7349,130,82,1,771,0,1006,559
7501,93,41,1,522,0,574,388
7502,124,68,1,694,1,808,501
7503,106,50,1,688,0,808,532
7504,48,50,1,420,0,503,322
7505,104,65,1,762,0,915,593
7506,135,80,1,798,0,1018,583
7507,95,48,1,631,1,992,487
7508,97,50,1,606,0,735,459
7509,140,53,1,825,0,1006,632
7512,120,54,1,493,0,638,319
7513,105,60,1,601,0,836,436
7514,68,54,1,544,0,886,422
7515,98,50,1,710,0,898,562
7516,120,57,1,759,0,907,582
7517,123,35,1,826,0,956,668
7518,149,54,1,858,0,993,655
7519,128,42,1,676,0,802,506
7521,121,51,1,726,0,854,554
7522,128,38,1,742,1,848,575
7523,142,34,1,689,0,821,513
7524,92,34,1,532,0,728,406
7525,94,45,1,636,0,870,497
7526,126,54,1,858,0,999,678
7527,118,60,1,624,1,773,445
7529,153,53,1,860,0,992,654
7531,152,47,1,805,0,954,606
7532,145,46,1,741,0,886,550
7533,212,58,1,910,0,1025,640
7534,148,39,1,775,0,967,588
7535,109,44,1,711,0,807,558
7536,131,50,1,775,1,895,593
7537,103,49,1,664,0,783,512
7538,101,45,1,736,1,831,589
7539,144,40,1,821,0,978,637
7541,127,35,1,728,0,865,566
7542,139,49,1,756,0,906,568
7543,112,51,1,806,0,993,643
7544,118,52,1,821,0,962,651
7545,132,59,1,833,1,970,641
7546,128,49,1,817,1,935,639
7547,141,61,1,837,0,1057,635
7548,167,57,1,894,0,1135,670
7549,107,55,1,734,1,854,571
7551,91,56,1,669,0,762,522
7552,90,33,1,678,0,756,555
7553,15,14,1,168,0,187,139
7554,106,38,1,769,1,859,624
7555,92,34,1,846,0,893,720
7556,114,60,1,906,0,1008,732
7601,105,58,1,588,0,929,425
7602,140,50,1,689,3,962,496
7603,123,48,1,690,0,888,519
7604,143,51,1,677,0,989,483
7605,73,40,1,428,0,771,315
7606,147,49,1,640,2,992,442
7607,129,53,1,710,0,1055,528
7608,32,26,1,244,0,456,186
7609,48,59,1,551,1,1051,443
7611,69,55,1,479,0,898,355
7612,72,44,1,418,0,668,302
7613,103,48,1,617,0,1015,466
7614,147,53,1,793,0,1177,593
7615,96,43,1,528,1,1020,388
7616,155,59,1,807,0,981,593
7617,59,57,1,516,2,898,398
7618,109,37,1,689,0,948,543
7619,266,128,1,1485,0,1971,1091
7621,151,69,1,800,0,1082,580
7622,76,61,1,534,1,1007,396
7623,69,34,1,467,0,839,364
7624,83,51,1,565,1,1074,430
7625,99,81,1,617,0,896,437
7626,194,77,1,1011,0,1177,740
7627,256,115,1,1326,0,1586,955
7628,148,50,1,720,0,1006,522
7629,108,36,1,577,0,837,433
7631,176,62,1,915,0,1143,677
7632,110,42,1,532,0,727,380
7633,100,53,1,574,0,731,421
7634,116,71,1,706,0,1017,519
7635,126,57,1,643,1,868,459
7636,113,58,1,784,0,993,613
7637,198,98,1,1151,2,1361,853
7638,229,80,1,1135,0,1285,826
7639,152,78,1,891,0,1011,661
7641,151,53,1,795,0,977,591
7642,138,66,1,810,1,967,605
7643,108,72,1,758,0,959,578
7644,133,87,1,925,1,1111,704
7645,97,63,1,587,0,669,427
7646,286,151,1,1893,0,2163,1456
7647,135,42,1,598,1,1028,420
7648,0,0,1,3,0,4,3
7701,158,74,1,914,0,1049,682
7702,118,51,1,663,0,775,494
7703,9,7,1,100,1,178,83
7704,165,54,1,881,0,1006,662
7705,104,41,1,495,0,554,350
7706,133,55,1,773,0,853,585
7707,111,55,1,784,0,854,618
7708,118,47,1,783,0,894,618
7709,55,25,1,354,1,390,273
7711,110,46,1,685,0,789,529
7712,80,42,1,518,0,577,396
7801,124,46,1,964,1,975,793
7802,85,40,1,723,0,760,598
7803,87,36,1,774,1,827,650
7804,94,43,1,876,1,932,738
7805,77,33,1,761,0,852,651
7806,95,43,1,663,0,746,525
7807,103,26,1,671,1,774,541
7808,69,35,1,578,0,702,474
7809,145,82,1,1091,0,1234,864
7811,109,30,1,696,0,806,557
7812,112,45,1,752,0,892,595
7813,138,58,1,943,0,1061,747
7814,111,58,1,667,1,919,497
7815,96,51,1,879,0,967,732
7816,88,27,1,823,0,896,708
7817,93,27,1,711,0,804,591
7818,109,34,1,787,2,889,642
7819,132,41,1,682,1,809,508
7821,113,38,1,916,0,998,765
7822,91,37,1,776,0,951,648
7823,105,32,1,806,0,928,669
7824,79,38,1,665,0,794,548
7825,74,24,1,521,0,578,423
7826,110,35,1,633,0,709,488
7827,160,57,1,758,1,931,540
7828,119,54,1,924,1,1053,750
7829,93,28,1,841,0,904,720
7831,64,31,1,803,0,906,708
7832,78,43,1,759,0,824,638
7833,91,34,1,710,1,785,584
7834,141,48,1,775,0,901,586
7835,124,58,1,785,0,863,603
7836,126,46,1,903,0,990,731
7837,94,46,1,840,0,934,700
7838,96,39,1,839,0,933,704
7839,86,56,1,785,1,869,642
7841,87,56,1,839,1,947,695
7842,137,50,1,864,1,960,676
7843,112,37,1,679,0,802,530
7844,87,40,1,594,0,682,467
7845,74,32,1,783,0,869,677
7846,103,44,1,814,0,925,667
7847,113,53,1,843,0,960,677
7848,98,45,1,818,0,905,675
7849,113,39,1,864,1,967,711
7851,56,42,1,472,0,528,374
7852,93,26,1,584,0,644,465
7853,93,36,1,770,0,896,641
7854,108,49,1,825,0,933,668
7855,128,41,1,870,0,968,701
7856,95,51,1,769,0,849,623
7857,155,57,1,854,0,963,642
7858,128,51,1,674,0,791,495
7859,96,52,1,834,0,915,686
7861,101,40,1,776,0,881,635
7862,110,32,1,815,0,923,673
7863,138,50,1,819,0,939,631
7864,99,41,1,703,0,815,563
7865,130,57,1,754,0,853,567
7866,125,52,1,746,0,831,569
7867,117,48,1,822,0,946,657
7868,81,39,1,764,0,901,644
7869,101,40,1,789,1,874,647
7871,96,35,1,804,0,909,673
7872,95,43,1,819,0,902,681
7873,96,35,1,788,0,874,657
7874,57,25,1,408,0,482,326
7875,95,41,1,525,1,628,388
7901,183,80,1,952,0,1286,689
7902,153,59,1,842,0,1064,630
7903,99,59,1,652,0,929,494
7904,140,54,1,694,0,926,500
7905,129,36,1,718,0,851,553
7906,116,38,1,653,0,854,499
7907,135,71,1,834,0,991,628
7908,168,66,1,872,0,1008,638
7909,121,40,1,644,0,787,483
7911,118,45,1,734,0,907,571
7912,152,71,1,874,0,1090,651
7913,146,63,1,800,0,964,591
7914,132,64,1,752,2,895,554
7915,156,38,1,716,1,892,521
7916,144,49,1,768,1,953,574
7917,195,51,1,868,1,1073,621
7918,126,44,1,697,0,860,527
7919,149,63,1,767,0,928,555
7921,116,46,1,694,0,970,532
7922,148,49,1,705,0,884,508
7923,138,42,1,689,1,930,508
7924,146,53,1,696,1,883,496
7925,104,26,1,483,0,591,353
7926,115,42,1,695,0,820,538
7927,111,45,1,688,0,782,532
7928,125,55,1,849,0,976,669
7929,84,36,1,780,0,871,660
7931,91,27,1,687,0,765,569
7932,74,28,1,482,1,557,379
7933,1,0,1,7,0,8,6
7934,126,43,1,772,2,888,601
7935,130,40,1,851,0,949,681
7936,111,43,1,764,0,876,610
7937,86,50,1,780,0,909,644
7938,108,34,1,636,1,808,493
7939,75,27,1,593,0,674,491
7941,84,40,1,655,1,790,530
7942,115,55,1,769,0,950,599
7943,121,47,1,780,2,938,610
7944,116,36,1,692,0,830,540
7945,96,50,1,663,0,926,517
7946,111,63,1,716,0,976,542
7947,116,79,1,717,2,964,520
7948,129,60,1,721,1,933,531
7949,88,51,1,433,0,594,294
7951,127,62,1,645,0,841,456
7952,126,59,1,651,1,865,465
7953,133,46,1,677,0,853,498
7954,0,0,1,0,0,0,0
7955,130,53,1,684,0,899,501
7956,100,77,1,579,0,779,402
7957,75,43,1,524,0,664,406
7958,38,19,1,199,0,291,142
9101,161,52,1,740,0,899,527
9102,188,63,1,817,0,989,566
9103,169,71,1,786,0,971,546
9104,161,68,1,795,0,1004,566
9105,146,71,1,817,0,975,600
9106,159,60,1,819,0,938,600
9107,146,63,1,679,0,859,470
9108,139,57,1,691,0,815,495
9109,146,52,1,749,0,875,551
9111,142,66,1,637,0,785,429
9112,126,72,1,804,0,975,606
9113,137,52,1,853,1,1008,663
9114,167,59,1,749,1,913,522
9115,141,66,1,761,0,948,554
9116,182,55,1,811,0,986,574
9117,130,53,1,670,1,785,486
9118,161,87,1,780,0,987,532
9119,175,69,1,744,0,911,500
9121,164,79,1,758,0,950,515
9122,173,55,1,769,0,976,541
9123,166,64,1,740,1,902,509
9124,154,66,1,730,0,940,510
9125,139,63,1,740,1,911,537
9126,167,89,1,820,0,978,564
9127,174,65,1,819,0,985,580
9128,135,58,1,727,1,859,533
9129,117,52,1,621,0,772,452
9131,125,46,1,661,0,806,490
9132,118,68,1,701,0,898,515
9133,175,66,1,888,0,1083,647
9134,158,74,1,767,0,937,535
9135,173,63,1,652,1,831,415
9136,142,69,1,788,0,952,577
9137,161,72,1,785,1,977,551
9138,166,67,1,771,0,930,538
9139,206,71,1,831,0,1004,554
9141,170,66,1,794,0,963,558
9142,146,74,1,843,0,1003,623
9143,169,76,1,747,0,921,502
9144,173,70,1,832,0,983,589
9145,133,62,1,753,0,889,558
9146,152,55,1,799,0,929,592
9147,160,76,1,818,0,983,582
9148,151,59,1,869,0,1007,659
9149,170,68,1,842,0,976,604
9151,109,67,1,704,0,858,528
9152,129,71,1,636,0,842,436
9201,210,45,1,893,0,1047,638
9202,159,63,1,806,0,962,584
9203,238,105,1,857,0,1006,514
9204,185,70,1,733,0,849,478
9205,141,52,1,652,1,760,458
9206,247,80,1,822,0,960,495
9207,207,101,1,845,0,980,537
9208,224,89,1,897,0,1028,584
9209,155,63,1,646,1,750,427
9211,177,72,1,778,0,910,529
9212,147,91,1,746,0,857,508
9213,189,96,1,853,0,987,568
9214,116,57,1,539,0,632,366
9215,137,50,1,566,0,645,379
9216,172,68,1,726,0,861,486
9217,163,65,1,662,0,761,434
9218,153,86,1,730,0,868,491
9219,125,78,1,719,0,829,516
9221,156,60,1,637,0,662,421
9222,142,79,1,811,1,889,589
9223,137,52,1,573,0,664,384
9224,200,70,1,863,0,993,593
9225,201,88,1,926,0,994,637
9226,158,81,1,833,0,960,594
9227,126,57,1,665,0,759,482
9228,170,33,1,651,0,725,448
9229,95,29,1,555,0,615,431
9231,131,61,1,869,0,1006,677
9232,133,50,1,695,0,746,512
9233,122,73,1,736,0,816,541
9234,136,53,1,664,0,759,475
9235,178,73,1,818,0,907,567
9236,108,43,1,600,0,682,449
9237,157,70,1,824,0,941,597
9238,190,69,1,809,1,846,549
9239,175,72,1,838,0,885,591
9241,165,82,1,894,0,1027,647
9242,145,76,1,885,1,1023,663
9243,92,48,1,555,0,611,415
9244,126,70,1,824,0,940,628
9245,92,47,1,627,1,725,487
9246,152,67,1,842,1,964,622
9247,171,68,1,885,0,1004,646
9248,140,76,1,846,0,955,630
9249,134,60,1,807,0,926,613
9251,147,85,1,871,0,982,639
9252,198,60,1,837,0,943,579
9253,135,75,1,709,0,808,499
9254,155,68,1,871,0,951,648
9255,101,60,1,518,0,577,357
9256,52,26,1,342,0,403,264
9257,64,21,1,287,0,339,202
9258,113,56,1,645,1,715,475
9401,177,68,1,815,0,1014,570
9402,156,101,1,816,0,1028,559
9403,165,58,1,739,0,933,516
9404,139,77,1,744,0,921,528
9405,141,68,1,699,0,818,490
9406,192,68,1,791,1,916,530
9407,148,66,1,728,0,941,514
9408,144,74,1,704,0,879,486
9409,124,33,1,524,0,626,367
9411,182,76,1,840,1,1051,581
9412,148,71,1,703,0,885,484
9413,153,78,1,742,0,907,511
9414,143,68,1,740,0,894,529
9415,125,81,1,637,0,798,431
9416,177,80,1,806,0,1018,549
9417,162,51,1,604,1,759,390
9418,142,69,1,642,0,814,431
9419,162,84,1,708,0,902,462
9421,158,92,1,732,0,929,482
9422,216,93,1,887,0,1082,578
9423,136,90,1,718,0,909,492
9424,140,76,1,756,0,951,540
9425,126,82,1,748,0,964,540
9426,164,64,1,663,0,835,435
9427,149,98,1,733,0,963,486
9428,175,71,1,754,0,963,508
9429,164,78,1,707,0,909,465
9431,195,80,1,821,0,1024,546
9432,129,91,1,718,1,913,497
9433,175,79,1,759,1,973,504
9434,169,56,1,803,0,997,578
9435,159,83,1,765,0,969,523
9436,176,99,1,783,0,994,508
9437,147,68,1,713,0,954,498
9438,180,88,1,791,0,1000,523
9439,152,64,1,690,0,903,474
9441,164,72,1,800,0,1004,564
9442,175,77,1,809,3,1027,554
9443,169,76,1,748,0,937,503
9444,168,92,1,720,1,955,459
9445,163,90,1,751,1,993,497
9446,161,107,1,912,0,1084,644
9447,141,66,1,761,0,954,554
9448,173,80,1,728,0,950,475
9449,126,67,1,639,0,820,446
9451,104,27,1,370,0,438,239
9452,157,74,1,701,0,829,470
9501,27,11,1,131,0,153,93
9502,32,20,1,209,0,233,157
9503,102,56,1,674,0,822,516
9505,74,35,1,617,1,804,507
9506,88,46,1,602,0,810,468
9507,97,32,1,638,0,783,509
9508,129,50,1,720,0,862,541
9509,117,55,1,661,0,758,489
9511,105,39,1,529,0,630,385
9512,141,50,1,709,0,848,518
9513,116,50,1,766,1,952,599
9514,125,54,1,832,0,959,653
9515,101,58,1,646,0,748,487
9516,153,67,1,763,0,922,543
9517,139,52,1,713,0,854,522
9518,113,59,1,707,0,826,535
9519,137,49,1,790,0,922,604
9521,142,62,1,827,1,947,622
9701,106,56,1,571,0,664,409
9702,112,56,1,640,0,760,472
9703,181,78,1,818,0,989,559
9704,141,64,1,836,0,971,631
9705,123,64,1,836,0,954,649
9706,10,5,1,54,0,54,39
9707,138,47,1,679,1,805,493
9708,155,73,1,829,0,956,601
9709,161,86,1,848,1,1029,600
9711,112,37,1,572,0,643,423
9713,145,72,1,782,0,974,565
9716,157,71,1,791,0,975,563
9717,172,72,1,837,1,993,592
9732,20,4,1,71,0,76,47
