precinctid,jane_kim,under_vote,precincts,ballots_cast,over_vote,registration,scott_wiener
1101,229,27,1,446,2,586,188
1102,395,66,1,810,1,996,348
1103,373,67,1,781,0,971,341
1104,382,52,1,763,0,991,329
1106,270,65,1,600,1,808,264
1107,240,52,1,506,4,781,210
1108,322,50,1,744,0,951,372
1109,257,65,1,617,0,809,295
1111,336,81,1,717,3,1031,297
1112,292,47,1,557,0,765,218
1113,269,51,1,547,1,713,226
1114,362,86,1,741,0,971,293
1115,351,85,1,746,1,910,309
1116,307,54,1,636,0,913,275
1117,273,83,1,644,2,886,286
1118,361,67,1,776,0,1031,348
1119,263,68,1,587,1,783,255
1121,239,57,1,525,2,691,227
1122,225,51,1,482,0,658,206
1123,303,61,1,646,0,954,282
1124,273,44,1,556,1,831,238
1125,344,72,1,745,1,1029,328
1126,317,65,1,701,2,954,317
1127,310,66,1,685,1,911,308
1128,327,68,1,686,3,907,288
1129,303,88,1,703,3,951,309
1131,242,69,1,574,2,853,261
1132,316,87,1,721,2,982,316
1133,298,77,1,661,1,870,285
1134,277,69,1,593,1,793,246
1135,185,35,1,421,2,521,199
1136,307,74,1,669,3,857,285
1141,397,64,1,812,2,1047,349
1142,318,71,1,667,1,858,277
1143,423,68,1,801,0,1056,310
1144,368,71,1,713,1,928,273
1145,424,47,1,753,0,931,282
1146,371,78,1,791,0,1036,342
1147,381,59,1,734,3,927,291
1148,342,82,1,727,4,992,299
1149,406,57,1,747,0,950,284
1151,0,0,1,0,0,0,0
1152,304,60,1,671,2,898,305
1153,367,84,1,749,1,961,297
1154,0,0,1,0,0,0,0
7001,247,55,1,559,1,742,256
7002,462,105,1,997,0,1225,430
7003,349,76,1,834,0,927,409
7004,347,69,1,808,1,896,391
7005,339,70,1,755,1,853,345
7006,434,74,1,799,0,966,291
7007,364,79,1,870,0,987,427
7008,326,64,1,820,2,882,428
7009,334,69,1,750,0,931,347
7011,290,53,1,621,1,1063,277
7012,396,98,1,925,0,1034,431
7013,263,66,1,640,1,733,310
7014,419,84,1,928,0,1073,425
7015,56,4,1,81,0,113,21
7016,280,73,1,593,1,977,239
7017,209,41,1,469,2,786,217
7018,241,77,1,672,3,992,351
7019,300,51,1,696,0,945,345
7021,309,56,1,631,4,993,262
7022,305,71,1,667,0,1032,291
7023,267,71,1,671,1,938,332
7024,59,14,1,119,1,309,45
7025,139,19,1,266,1,505,107
7026,258,74,1,700,3,1022,365
7027,226,58,1,577,0,879,293
7028,251,53,1,544,1,900,239
7029,246,65,1,525,4,924,210
7030,225,53,1,558,2,787,278
7031,175,45,1,392,0,511,172
7032,231,64,1,589,4,938,290
7033,254,52,1,546,8,814,232
7034,235,57,1,515,2,954,221
7035,125,39,1,341,0,476,177
7036,279,59,1,596,1,967,257
7037,161,58,1,379,1,840,159
7038,264,48,1,595,3,960,280
7039,274,60,1,625,1,831,290
7041,13,12,1,42,1,62,16
7042,238,56,1,514,1,697,219
7043,319,54,1,640,1,990,266
7044,178,48,1,415,0,867,189
7045,194,53,1,531,2,803,282
7046,136,28,1,319,0,435,155
7047,266,64,1,602,0,858,272
7048,211,53,1,518,1,877,253
7049,233,56,1,534,1,829,244
7051,237,61,1,612,2,909,312
7052,279,81,1,675,0,894,315
7053,200,49,1,462,0,552,213
7054,324,63,1,683,2,1068,294
7101,54,11,1,126,0,150,61
7201,300,121,1,868,1,983,446
7202,240,94,1,752,2,885,416
7203,300,114,1,840,1,950,425
7204,285,92,1,833,0,933,456
7205,267,98,1,815,0,903,450
7206,127,33,1,340,0,390,180
7207,254,76,1,595,1,712,264
7208,201,64,1,539,2,635,272
7209,135,55,1,491,0,563,301
7301,342,123,1,813,0,1080,348
7302,262,83,1,732,0,862,387
7303,346,105,1,851,1,1032,399
7304,331,87,1,828,2,993,408
7305,317,86,1,772,0,906,369
7306,348,101,1,882,0,1076,433
7307,299,91,1,674,0,826,284
7308,231,64,1,548,0,641,253
7309,292,102,1,764,0,897,370
7311,338,113,1,853,0,986,402
7312,229,100,1,768,0,874,439
7313,349,92,1,798,1,1001,356
7314,239,67,1,511,0,833,205
7315,298,93,1,597,1,783,205
7316,329,63,1,661,0,893,269
7317,336,85,1,743,0,938,322
7318,280,96,1,689,2,788,311
7319,368,103,1,908,0,1123,437
7321,241,56,1,493,1,683,195
7322,278,50,1,526,0,937,198
7323,333,91,1,727,1,888,302
7324,247,93,1,601,1,756,260
7325,352,93,1,792,0,973,347
7326,320,77,1,749,1,922,351
7327,207,43,1,434,0,762,184
7328,280,56,1,617,2,1024,279
7329,171,55,1,454,0,607,228
7331,291,113,1,793,0,933,389
7332,375,84,1,718,0,889,259
7333,415,100,1,888,0,1101,373
7334,363,85,1,774,0,963,326
7335,363,104,1,894,0,1002,427
7336,361,114,1,883,2,1017,406
7337,333,95,1,755,1,944,326
7338,288,79,1,695,2,1005,326
7339,244,47,1,495,2,660,202
7341,360,89,1,765,1,974,315
7342,413,75,1,791,0,1034,303
7343,316,66,1,618,2,746,234
7344,418,101,1,916,0,1143,397
7345,480,102,1,891,0,1186,309
7346,429,60,1,762,0,991,273
7347,466,67,1,841,1,1085,307
7348,333,79,1,647,1,957,234
7349,377,89,1,771,0,1006,305
7501,155,61,1,522,0,574,306
7502,282,75,1,694,0,808,337
7503,288,62,1,688,2,808,336
7504,216,41,1,420,1,503,162
7505,271,73,1,762,3,915,415
7506,356,90,1,798,1,1018,351
7507,332,55,1,631,3,992,241
7508,255,59,1,606,1,735,291
7509,366,74,1,825,1,1006,384
7512,199,90,1,493,1,638,203
7513,286,65,1,601,4,836,246
7514,245,57,1,544,1,886,241
7515,340,73,1,710,0,898,297
7516,343,68,1,759,1,907,347
7517,453,66,1,826,0,956,307
7518,456,65,1,858,1,993,336
7519,359,51,1,676,1,802,265
7521,370,58,1,726,0,854,298
7522,396,44,1,742,1,848,301
7523,395,38,1,689,0,821,256
7524,261,42,1,532,0,728,229
7525,309,65,1,636,0,870,262
7526,421,77,1,858,1,999,359
7527,287,68,1,624,2,773,267
7529,476,68,1,860,1,992,315
7531,431,59,1,805,1,954,314
7532,350,66,1,741,1,886,324
7533,512,74,1,910,2,1025,322
7534,422,58,1,775,1,967,294
7535,389,52,1,711,0,807,270
7536,392,54,1,775,0,895,329
7537,336,46,1,664,2,783,280
7538,353,56,1,736,0,831,327
7539,456,41,1,821,1,978,323
7541,367,42,1,728,0,865,319
7542,455,45,1,756,0,906,256
7543,395,56,1,806,0,993,355
7544,378,62,1,821,1,962,380
7545,406,73,1,833,0,970,354
7546,429,54,1,817,1,935,333
7547,456,85,1,837,0,1057,296
7548,429,78,1,894,0,1135,387
7549,372,61,1,734,0,854,301
7551,326,51,1,669,0,762,292
7552,289,46,1,678,0,756,343
7553,74,24,1,168,0,187,70
7554,328,53,1,769,0,859,388
7555,352,60,1,846,0,893,434
7556,345,60,1,906,0,1008,501
7601,325,55,1,588,1,929,207
7602,424,43,1,689,6,962,216
7603,414,46,1,690,0,888,230
7604,388,50,1,677,0,989,239
7605,225,38,1,428,4,771,161
7606,365,62,1,640,4,992,209
7607,401,56,1,710,0,1055,253
7608,124,24,1,244,1,456,95
7609,299,53,1,551,4,1051,195
7611,262,52,1,479,2,898,163
7612,176,51,1,418,1,668,190
7613,349,55,1,617,5,1015,208
7614,468,61,1,793,0,1177,264
7615,279,61,1,528,2,1020,186
7616,334,83,1,807,1,981,389
7617,257,50,1,516,4,898,205
7618,312,55,1,689,0,948,322
7619,700,143,1,1485,2,1971,640
7621,381,81,1,800,0,1082,338
7622,277,77,1,534,9,1007,171
7623,231,40,1,467,1,839,195
7624,324,53,1,565,3,1074,185
7625,212,67,1,617,6,896,332
7626,398,108,1,1011,1,1177,504
7627,484,188,1,1326,1,1586,653
7628,344,57,1,720,1,1006,318
7629,278,50,1,577,0,837,249
7631,430,81,1,915,2,1143,402
7632,239,50,1,532,0,727,243
7633,245,54,1,574,1,731,274
7634,317,70,1,706,1,1017,318
7635,319,62,1,643,1,868,261
7636,302,102,1,784,3,993,377
7637,491,148,1,1151,2,1361,510
7638,371,150,1,1135,0,1285,614
7639,338,121,1,891,0,1011,432
7641,321,68,1,795,1,977,405
7642,308,105,1,810,0,967,397
7643,309,77,1,758,1,959,371
7644,410,107,1,925,3,1111,405
7645,213,82,1,587,0,669,292
7646,800,208,1,1893,3,2163,882
7647,372,52,1,598,0,1028,174
7648,2,0,1,3,0,4,1
7701,392,87,1,914,0,1049,435
7702,232,83,1,663,0,775,348
7703,36,17,1,100,2,178,45
7704,327,84,1,881,1,1006,469
7705,153,41,1,495,0,554,301
7706,286,68,1,773,0,853,419
7707,269,67,1,784,0,854,448
7708,310,77,1,783,0,894,396
7709,184,31,1,354,0,390,139
7711,253,67,1,685,0,789,365
7712,222,49,1,518,0,577,247
7801,316,64,1,964,1,975,583
7802,253,47,1,723,0,760,423
7803,240,32,1,774,0,827,502
7804,335,51,1,876,0,932,490
7805,319,31,1,761,0,852,411
7806,290,31,1,663,0,746,342
7807,323,23,1,671,1,774,324
7808,260,42,1,578,0,702,276
7809,489,85,1,1091,0,1234,517
7811,356,41,1,696,0,806,299
7812,349,56,1,752,2,892,345
7813,453,70,1,943,0,1061,420
7814,385,50,1,667,1,919,231
7815,319,51,1,879,0,967,509
7816,289,34,1,823,0,896,500
7817,346,27,1,711,0,804,338
7818,349,46,1,787,2,889,390
7819,334,49,1,682,2,809,297
7821,333,32,1,916,0,998,551
7822,326,45,1,776,0,951,405
7823,362,29,1,806,0,928,415
7824,274,37,1,665,2,794,352
7825,238,30,1,521,0,578,253
7826,333,37,1,633,1,709,262
7827,467,53,1,758,0,931,238
7828,366,50,1,924,0,1053,508
7829,287,35,1,841,0,904,519
7831,334,23,1,803,0,906,446
7832,284,35,1,759,0,824,440
7833,347,37,1,710,1,785,325
7834,401,45,1,775,0,901,329
7835,364,51,1,785,0,863,370
7836,393,57,1,903,0,990,453
7837,288,52,1,840,0,934,500
7838,287,42,1,839,0,933,510
7839,267,48,1,785,1,869,469
7841,322,64,1,839,0,947,453
7842,386,51,1,864,0,960,427
7843,352,40,1,679,0,802,287
7844,317,40,1,594,0,682,237
7845,280,38,1,783,1,869,464
7846,261,48,1,814,0,925,505
7847,306,53,1,843,0,960,484
7848,279,53,1,818,1,905,485
7849,373,45,1,864,0,967,446
7851,131,38,1,472,0,528,303
7852,210,30,1,584,0,644,344
7853,274,34,1,770,0,896,462
7854,313,57,1,825,0,933,455
7855,343,52,1,870,0,968,475
7856,337,45,1,769,1,849,386
7857,414,48,1,854,1,963,391
7858,380,47,1,674,0,791,247
7859,281,60,1,834,1,915,492
7861,303,50,1,776,0,881,423
7862,307,48,1,815,0,923,460
7863,377,50,1,819,2,939,390
7864,328,38,1,703,0,815,337
7865,338,72,1,754,1,853,343
7866,240,57,1,746,1,831,448
7867,277,42,1,822,2,946,501
7868,240,52,1,764,0,901,472
7869,310,38,1,789,0,874,441
7871,295,47,1,804,0,909,462
7872,296,45,1,819,0,902,478
7873,306,44,1,788,0,874,438
7874,167,36,1,408,0,482,205
7875,249,57,1,525,2,628,217
7901,510,79,1,952,5,1286,358
7902,454,68,1,842,1,1064,319
7903,383,56,1,652,3,929,210
7904,370,57,1,694,0,926,267
7905,367,49,1,718,0,851,302
7906,360,43,1,653,1,854,249
7907,469,75,1,834,0,991,290
7908,480,79,1,872,1,1008,312
7909,354,52,1,644,0,787,238
7911,415,51,1,734,1,907,267
7912,478,74,1,874,3,1090,319
7913,435,66,1,800,0,964,299
7914,424,58,1,752,2,895,268
7915,415,44,1,716,1,892,256
7916,462,48,1,768,3,953,255
7917,506,61,1,868,5,1073,296
7918,385,48,1,697,1,860,263
7919,456,57,1,767,3,928,251
7921,381,58,1,694,2,970,253
7922,412,49,1,705,0,884,244
7923,419,49,1,689,1,930,220
7924,429,52,1,696,1,883,214
7925,290,30,1,483,0,591,163
7926,417,41,1,695,0,820,237
7927,361,48,1,688,1,782,278
7928,481,54,1,849,2,976,312
7929,392,38,1,780,0,871,350
7931,360,46,1,687,1,765,280
7932,243,31,1,482,0,557,208
7933,4,0,1,7,0,8,3
7934,453,49,1,772,3,888,267
7935,458,35,1,851,0,949,358
7936,435,43,1,764,0,876,286
7937,422,48,1,780,1,909,309
7938,384,44,1,636,2,808,206
7939,315,46,1,593,0,674,232
7941,340,56,1,655,3,790,256
7942,409,67,1,769,0,950,293
7943,384,51,1,780,1,938,344
7944,379,46,1,692,0,830,267
7945,363,59,1,663,0,926,241
7946,312,77,1,716,0,976,327
7947,323,84,1,717,1,964,309
7948,335,84,1,721,1,933,301
7949,174,51,1,433,1,594,207
7951,280,78,1,645,0,841,287
7952,324,59,1,651,0,865,268
7953,320,66,1,677,0,853,291
7954,0,0,1,0,0,0,0
7955,290,79,1,684,3,899,312
7956,252,62,1,579,0,779,265
7957,236,61,1,524,0,664,227
7958,86,17,1,199,0,291,96
9001,93,15,1,197,0,269,89
9101,335,87,1,740,2,899,316
9102,364,76,1,817,0,989,377
9103,332,99,1,786,1,971,354
9104,408,88,1,795,1,1004,298
9105,354,91,1,817,0,975,372
9106,340,80,1,819,1,938,398
9107,358,66,1,679,2,859,253
9108,333,65,1,691,0,815,293
9109,337,74,1,749,0,875,338
9111,293,74,1,637,1,785,269
9112,343,85,1,804,2,975,374
9113,357,63,1,853,0,1008,433
9114,362,83,1,749,1,913,303
9115,385,73,1,761,0,948,303
9116,418,71,1,811,1,986,321
9117,270,68,1,670,0,785,332
9118,380,103,1,780,0,987,297
9119,336,81,1,744,2,911,325
9121,350,85,1,758,0,950,323
9122,365,73,1,769,0,976,331
9123,331,92,1,740,0,902,317
9124,363,83,1,730,1,940,283
9125,376,83,1,740,0,911,281
9126,376,78,1,820,0,978,366
9127,337,70,1,819,0,985,412
9128,320,73,1,727,1,859,333
9129,285,63,1,621,0,772,273
9131,317,69,1,661,0,806,275
9132,366,69,1,701,1,898,265
9133,421,77,1,888,0,1083,390
9134,358,91,1,767,1,937,317
9135,276,89,1,652,0,831,287
9136,376,74,1,788,0,952,338
9137,385,97,1,785,0,977,303
9138,351,85,1,771,0,930,335
9139,367,87,1,831,1,1004,376
9141,373,70,1,794,0,963,351
9142,417,86,1,843,1,1003,339
9143,339,79,1,747,2,921,327
9144,367,88,1,832,1,983,376
9145,350,85,1,753,1,889,317
9146,401,85,1,799,0,929,313
9147,407,83,1,818,1,983,327
9148,407,93,1,869,1,1007,368
9149,433,84,1,842,0,976,325
9151,307,83,1,704,1,858,313
9152,321,89,1,636,0,842,226
9201,479,65,1,893,0,1047,349
9202,313,104,1,806,1,962,388
9203,246,161,1,857,0,1006,450
9204,180,104,1,733,0,849,449
9205,201,100,1,652,0,760,351
9206,225,145,1,822,0,960,452
9207,232,146,1,845,0,980,467
9208,289,152,1,897,0,1028,456
9209,199,113,1,646,0,750,334
9211,225,134,1,778,0,910,419
9212,242,126,1,746,0,857,378
9213,261,127,1,853,0,987,465
9214,134,78,1,539,0,632,327
9215,135,89,1,566,0,645,342
9216,218,123,1,726,0,861,385
9217,217,95,1,662,0,761,350
9218,250,112,1,730,0,868,368
9219,243,112,1,719,0,829,364
9221,133,97,1,637,0,662,407
9222,174,138,1,811,0,889,499
9223,166,83,1,573,0,664,324
9224,240,121,1,863,0,993,502
9225,304,140,1,926,0,994,482
9226,255,117,1,833,0,960,461
9227,219,79,1,665,0,759,367
9228,189,69,1,651,0,725,393
9229,144,58,1,555,0,615,353
9231,323,83,1,869,1,1006,462
9232,208,75,1,695,0,746,412
9233,197,107,1,736,1,816,431
9234,180,93,1,664,0,759,391
9235,204,114,1,818,0,907,500
9236,170,75,1,600,1,682,354
9237,213,115,1,824,0,941,496
9238,241,115,1,809,0,846,453
9239,239,114,1,838,0,885,485
9241,274,126,1,894,0,1027,494
9242,285,140,1,885,1,1023,459
9243,191,67,1,555,0,611,297
9244,270,113,1,824,0,940,441
9245,198,82,1,627,0,725,347
9246,293,115,1,842,0,964,434
9247,291,123,1,885,0,1004,471
9248,280,130,1,846,0,955,436
9249,275,99,1,807,1,926,432
9251,287,106,1,871,0,982,478
9252,323,103,1,837,1,943,410
9253,253,112,1,709,0,808,344
9254,342,95,1,871,0,951,434
9255,196,64,1,518,0,577,258
9256,135,42,1,342,0,403,165
9257,130,31,1,287,1,339,125
9258,275,71,1,645,0,715,299
9401,449,74,1,815,0,1014,292
9402,412,95,1,816,0,1028,309
9403,357,69,1,739,0,933,313
9404,367,72,1,744,0,921,305
9405,300,73,1,699,1,818,325
9406,365,91,1,791,2,916,333
9407,334,77,1,728,1,941,316
9408,363,67,1,704,2,879,272
9409,283,50,1,524,0,626,191
9411,481,87,1,840,1,1051,271
9412,327,72,1,703,0,885,304
9413,339,88,1,742,1,907,314
9414,350,83,1,740,0,894,307
9415,259,87,1,637,0,798,291
9416,379,70,1,806,0,1018,357
9417,244,60,1,604,1,759,299
9418,238,91,1,642,1,814,312
9419,277,108,1,708,0,902,323
9421,291,101,1,732,0,929,340
9422,375,115,1,887,2,1082,395
9423,299,81,1,718,2,909,336
9424,323,72,1,756,0,951,361
9425,319,101,1,748,0,964,328
9426,265,80,1,663,1,835,317
9427,291,102,1,733,0,963,340
9428,328,83,1,754,0,963,343
9429,317,83,1,707,1,909,306
9431,320,109,1,821,3,1024,389
9432,280,90,1,718,1,913,347
9433,292,98,1,759,0,973,369
9434,332,80,1,803,1,997,390
9435,343,86,1,765,0,969,336
9436,344,100,1,783,1,994,338
9437,298,88,1,713,1,954,326
9438,303,86,1,791,0,1000,402
9439,289,88,1,690,0,903,313
9441,358,81,1,800,1,1004,360
9442,339,114,1,809,3,1027,353
9443,313,76,1,748,0,937,359
9444,303,90,1,720,1,955,326
9445,330,93,1,751,1,993,327
9446,394,105,1,912,0,1084,413
9447,324,72,1,761,0,954,365
9448,315,83,1,728,0,950,330
9449,262,86,1,639,2,820,289
9451,129,46,1,370,0,438,195
9452,291,86,1,701,1,829,323
9453,173,49,1,415,0,502,193
9501,52,15,1,131,0,153,64
9502,99,20,1,209,0,233,90
9503,291,74,1,674,2,822,307
9505,277,56,1,617,6,804,278
9506,281,50,1,602,0,810,271
9507,319,38,1,638,0,783,281
9508,381,57,1,720,0,862,282
9509,325,63,1,661,1,758,272
9511,285,48,1,529,0,630,196
9512,381,59,1,709,0,848,269
9513,394,57,1,766,1,952,314
9514,434,74,1,832,0,959,324
9515,297,70,1,646,0,748,279
9516,353,92,1,763,0,922,318
9517,387,55,1,713,0,854,271
9518,356,64,1,707,0,826,287
9519,406,67,1,790,1,922,316
9521,426,75,1,827,0,947,326
9701,277,68,1,571,0,664,226
9702,285,72,1,640,0,760,283
9703,352,89,1,818,0,989,377
9704,363,77,1,836,0,971,396
9705,386,80,1,836,0,954,370
9706,22,9,1,54,0,54,23
9707,255,70,1,679,1,805,353
9708,380,90,1,829,0,956,359
9709,326,95,1,848,3,1029,424
9711,204,70,1,572,0,643,298
9712,175,63,1,593,0,656,355
9713,298,76,1,782,0,974,408
9714,253,96,1,825,0,941,476
9715,144,56,1,521,0,580,321
9716,279,95,1,791,0,975,417
9717,314,88,1,837,0,993,435
9718,253,76,1,755,0,859,426
9719,228,74,1,755,2,880,451
9721,167,49,1,575,0,657,359
9722,182,68,1,543,0,634,293
9723,132,57,1,396,0,478,207
9724,284,110,1,824,0,978,430
9725,261,116,1,783,1,985,405
9726,303,84,1,606,2,782,217
9727,124,46,1,396,1,454,225
9728,256,98,1,805,0,937,451
9729,175,78,1,708,2,802,453
9731,124,62,1,485,1,548,298
9732,19,6,1,71,0,76,46
9733,73,13,1,204,0,221,118
9734,127,62,1,535,0,603,346
9735,192,90,1,699,0,807,417
9736,235,57,1,651,0,729,359
9737,284,63,1,715,0,782,368
9738,308,91,1,680,1,850,280
9739,356,86,1,681,1,912,238
9741,383,104,1,679,0,1064,192
9742,193,66,1,530,0,669,271
9743,455,99,1,907,0,1159,353
9744,387,98,1,763,1,968,277
9745,417,68,1,762,1,1052,276
9746,279,103,1,783,0,903,401
9747,352,92,1,797,1,989,352
9748,334,88,1,809,0,981,387
9749,351,72,1,686,0,969,263
9751,332,101,1,908,1,1011,474
9752,239,55,1,626,1,721,331
9753,296,47,1,636,1,777,292
9754,321,46,1,648,0,744,281
9755,209,48,1,492,0,605,235
9756,333,110,1,784,1,980,340
9801,139,36,1,339,1,434,163
9900,0,0,1,0,0,0,0
9901,0,0,1,0,0,0,0
9902,0,0,1,0,0,0,0
