precinctid,amy_bacharach,writein,under_vote,tom_temprano,precincts,shanell_williams,ballots_cast,alex_randolph,over_vote,registration,rafael_mandelman
7847,265,1,1585,318,1,406,843,353,4,960,440
7848,286,5,1474,315,1,403,818,350,0,905,439
7849,299,2,1529,358,1,452,864,344,0,967,472
7851,188,0,905,129,1,208,472,211,0,528,247
7852,246,0,1042,186,1,288,584,272,0,644,302
7853,283,2,1398,278,1,375,770,366,4,896,374
7854,275,1,1626,275,1,392,825,336,0,933,395
7855,280,3,1617,336,1,427,870,349,0,968,468
7856,245,2,1408,318,1,396,769,291,0,849,416
7857,229,1,1620,387,1,444,854,293,0,963,442
7858,171,5,1297,319,1,356,674,206,4,791,338
7859,298,2,1584,285,1,381,834,344,0,915,442
7861,266,0,1439,300,1,375,776,312,0,881,412
7862,276,0,1529,309,1,400,815,323,0,923,423
7863,259,3,1507,342,1,412,819,321,0,939,432
7864,211,0,1322,291,1,348,703,267,0,815,373
7865,235,3,1461,301,1,368,754,274,0,853,374
7866,278,2,1456,231,1,341,746,320,0,831,356
7867,279,8,1477,316,1,440,822,351,0,946,417
7868,290,2,1340,278,1,389,764,365,0,901,392
7869,267,3,1347,346,1,421,789,333,0,874,439
7871,290,1,1436,292,1,416,804,357,4,909,420
7872,292,1,1471,299,1,408,819,354,0,902,451
7873,246,5,1431,311,1,406,788,325,0,874,428
7874,152,5,699,169,1,203,408,190,0,482,214
7875,178,0,930,226,1,287,525,211,8,628,260
7901,230,10,2003,389,1,449,952,284,8,1286,435
7902,230,7,1732,362,1,405,842,248,4,1064,380
7903,191,0,1260,260,1,331,652,231,0,929,335
7904,201,1,1330,305,1,355,694,242,0,926,342
7905,220,1,1284,324,1,411,718,249,4,851,379
7906,152,2,1297,294,1,333,653,202,0,854,332
7907,211,3,1675,352,1,414,834,279,0,991,402
7908,206,3,1808,386,1,417,872,265,4,1008,399
7909,176,1,1232,273,1,337,644,209,0,787,348
7911,218,1,1404,317,1,377,734,250,0,907,369
7912,206,2,1780,385,1,443,874,245,0,1090,435
7913,203,4,1572,361,1,400,800,268,0,964,392
7914,191,2,1404,336,1,408,752,267,0,895,400
7915,194,5,1322,339,1,395,716,235,0,892,374
7916,204,2,1353,372,1,438,768,264,0,953,439
7917,217,4,1721,410,1,432,868,264,8,1073,416
7918,167,5,1345,323,1,345,697,236,0,860,367
7919,191,6,1417,382,1,416,767,229,4,928,423
7921,206,0,1364,315,1,341,694,242,4,970,304
7922,193,4,1300,322,1,384,705,239,0,884,378
7923,179,0,1271,352,1,377,689,209,0,930,368
7924,184,5,1299,333,1,375,696,231,0,883,357
7925,129,3,890,218,1,266,483,169,0,591,257
7926,189,4,1215,330,1,401,695,254,4,820,383
7927,180,1,1241,325,1,370,688,248,4,782,383
7928,261,3,1452,405,1,490,849,317,0,976,468
7929,245,2,1254,383,1,458,780,317,0,871,461
7931,204,1,1141,315,1,400,687,294,8,765,385
7932,162,0,829,211,1,279,482,197,0,557,250
7933,2,0,16,2,1,3,7,3,0,8,2
7934,209,3,1296,407,1,435,772,287,0,888,451
7935,258,2,1345,427,1,516,851,345,0,949,511
7936,216,3,1220,372,1,454,764,338,0,876,453
7937,216,2,1308,370,1,447,780,318,4,909,455
7938,150,1,1167,317,1,365,636,204,12,808,328
7939,150,0,1040,289,1,334,593,229,0,674,330
7941,208,1,1227,273,1,343,655,235,0,790,333
7942,225,5,1465,309,1,398,769,294,4,950,376
7943,255,4,1462,320,1,371,780,315,0,938,393
7944,185,2,1186,333,1,406,692,262,0,830,394
7945,211,2,1267,256,1,347,663,255,8,926,306
7946,261,1,1334,271,1,350,716,306,0,976,341
7947,252,3,1524,230,1,312,717,252,0,964,295
7948,230,6,1454,280,1,334,721,262,8,933,310
7949,149,0,922,123,1,194,433,167,0,594,177
7951,224,1,1333,210,1,302,645,251,0,841,259
7952,219,10,1313,223,1,315,651,242,0,865,282
7953,240,0,1323,239,1,330,677,272,0,853,304
7954,0,0,0,0,1,0,0,0,0,0,0
7955,248,5,1356,236,1,324,684,278,0,899,289
7956,214,4,1165,196,1,259,579,241,0,779,237
7957,175,1,1015,194,1,271,524,212,8,664,220
7958,59,1,395,65,1,105,199,79,0,291,92
9001,79,0,331,70,1,121,197,101,4,269,82
9101,269,4,1617,221,1,301,740,263,4,899,281
9102,263,11,1750,273,1,344,817,301,0,989,326
9103,252,6,1702,226,1,350,786,302,0,971,306
9104,267,2,1584,267,1,399,795,312,0,1004,349
9105,271,7,1718,251,1,359,817,317,0,975,345
9106,296,10,1699,267,1,357,819,316,0,938,331
9107,204,1,1462,237,1,307,679,240,12,859,253
9108,263,1,1371,218,1,327,691,275,0,815,309
9109,240,1,1612,244,1,327,749,278,0,875,294
9111,187,3,1408,209,1,273,637,217,0,785,251
9112,280,0,1664,248,1,362,804,313,0,975,349
9113,302,0,1755,258,1,400,853,333,0,1008,364
9114,240,9,1608,253,1,342,749,256,0,913,288
9115,248,6,1627,228,1,349,761,261,0,948,325
9116,249,3,1679,291,1,391,811,280,0,986,351
9117,230,3,1405,215,1,281,670,273,0,785,273
9118,252,1,1751,236,1,318,780,265,0,987,297
9119,239,3,1576,246,1,331,744,278,4,911,299
9121,280,7,1643,219,1,320,758,277,0,950,286
9122,256,1,1647,267,1,328,769,279,4,976,294
9123,235,2,1575,235,1,324,740,278,0,902,311
9124,244,1,1645,204,1,304,730,248,4,940,270
9125,245,0,1584,239,1,341,740,272,0,911,279
9126,284,3,1739,253,1,359,820,306,0,978,336
9127,267,5,1781,259,1,355,819,285,0,985,324
9128,245,0,1574,207,1,312,727,273,0,859,297
9129,176,6,1347,202,1,289,621,212,4,772,248
9131,223,10,1387,208,1,312,661,235,0,806,269
9132,208,0,1477,248,1,336,701,239,0,898,296
9133,293,11,1794,275,1,427,888,360,4,1083,388
9134,215,1,1750,252,1,322,767,235,0,937,293
9135,189,2,1477,215,1,267,652,226,0,831,232
9136,264,6,1576,274,1,400,788,306,0,952,326
9137,287,8,1632,260,1,359,785,290,0,977,304
9138,258,10,1585,261,1,361,771,280,4,930,325
9139,290,6,1719,271,1,373,831,319,0,1004,346
9141,288,1,1615,248,1,367,794,302,4,963,351
9142,281,0,1688,281,1,428,843,319,0,1003,375
9143,227,4,1560,251,1,361,747,259,0,921,326
9144,306,0,1662,283,1,373,832,335,0,983,369
9145,255,0,1561,240,1,347,753,283,4,889,322
9146,213,3,1703,294,1,381,799,272,0,929,330
9147,245,2,1765,290,1,373,818,251,0,983,346
9148,270,4,1858,275,1,396,869,311,0,1007,362
9149,254,12,1761,299,1,387,842,301,0,976,354
9151,262,2,1507,216,1,307,704,263,0,858,259
9152,209,2,1389,217,1,284,636,214,0,842,229
9201,327,5,1692,364,1,439,893,351,0,1047,394
9202,294,3,1734,251,1,318,806,311,0,962,313
9203,268,1,2157,213,1,265,857,279,0,1006,245
9204,262,1,1703,203,1,254,733,259,0,849,250
9205,205,3,1600,155,1,227,652,213,0,760,205
9206,282,3,1959,211,1,265,822,294,0,960,274
9207,242,5,2152,228,1,235,845,283,0,980,235
9208,263,2,2218,248,1,280,897,316,0,1028,261
9209,193,1,1632,174,1,195,646,199,0,750,190
9211,248,2,1973,200,1,224,778,239,0,910,226
9212,241,6,1813,201,1,267,746,244,4,857,208
9213,267,1,2056,233,1,275,853,305,4,987,271
9214,170,1,1252,172,1,174,539,210,4,632,173
9215,181,3,1341,148,1,185,566,210,0,645,196
9216,239,4,1773,188,1,236,726,249,0,861,215
9217,233,0,1587,176,1,223,662,216,0,761,213
9218,232,3,1764,203,1,232,730,261,0,868,225
9219,227,2,1728,199,1,233,719,254,0,829,233
9221,224,1,1465,165,1,186,637,264,0,662,243
9222,304,4,1891,189,1,257,811,319,4,889,276
9223,198,1,1400,146,1,178,573,192,0,664,177
9224,276,1,1966,251,1,300,863,340,0,993,318
9225,316,4,2190,241,1,337,926,312,0,994,304
9226,279,5,1968,222,1,264,833,305,4,960,285
9227,257,3,1390,191,1,254,665,281,4,759,280
9228,260,1,1340,201,1,252,651,273,0,725,277
9229,229,5,1136,159,1,214,555,240,0,615,237
9231,311,2,1815,284,1,359,869,347,0,1006,358
9232,270,6,1459,199,1,269,695,296,0,746,281
9233,250,1,1733,172,1,225,736,288,4,816,271
9234,234,0,1499,179,1,233,664,268,0,759,243
9235,305,0,1839,216,1,278,818,325,0,907,309
9236,201,4,1410,155,1,196,600,230,0,682,204
9237,274,2,1963,205,1,275,824,292,0,941,285
9238,295,1,1794,219,1,287,809,317,4,846,319
9239,295,0,1921,192,1,307,838,318,4,885,315
9241,301,1,2045,267,1,314,894,323,4,1027,321
9242,330,4,1997,237,1,325,885,326,4,1023,317
9243,209,2,1195,170,1,213,555,220,0,611,211
9244,266,3,1932,220,1,281,824,311,0,940,283
9245,206,2,1346,213,1,253,627,246,0,725,242
9246,265,5,2022,215,1,300,842,274,0,964,287
9247,308,3,1986,245,1,326,885,338,0,1004,334
9248,276,1,1879,242,1,338,846,321,0,955,327
9249,291,4,1704,258,1,307,807,334,0,926,330
9251,305,12,1843,271,1,373,871,340,0,982,340
9252,295,7,1756,270,1,342,837,343,4,943,331
9253,214,2,1545,228,1,280,709,263,12,808,292
9254,278,1,2002,231,1,341,871,316,0,951,315
9255,167,3,1157,169,1,207,518,185,0,577,184
9256,105,0,794,102,1,134,342,117,0,403,116
9257,82,0,586,111,1,140,287,108,0,339,121
9258,226,3,1323,214,1,274,645,260,0,715,280
9401,245,10,1709,314,1,362,815,271,0,1014,349
9402,266,6,1715,261,1,364,816,293,0,1028,359
9403,251,5,1488,251,1,345,739,279,8,933,329
9404,239,7,1532,264,1,345,744,268,4,921,317
9405,241,8,1459,207,1,307,699,265,0,818,309
9406,274,2,1573,267,1,363,791,314,0,916,371
9407,226,1,1593,232,1,310,728,258,0,941,292
9408,207,0,1477,241,1,354,704,238,0,879,299
9409,146,5,1119,180,1,245,524,167,4,626,230
9411,278,1,1751,290,1,379,840,300,4,1051,357
9412,209,1,1459,244,1,319,703,245,4,885,331
9413,228,5,1589,245,1,313,742,272,0,907,316
9414,240,7,1556,237,1,320,740,267,4,894,329
9415,212,0,1353,204,1,275,637,247,0,798,257
9416,283,2,1707,252,1,352,806,289,4,1018,335
9417,194,3,1300,176,1,256,604,225,4,759,258
9418,206,0,1471,182,1,244,642,224,0,814,241
9419,230,6,1604,207,1,287,708,247,0,902,251
9421,236,1,1617,206,1,305,732,265,4,929,294
9422,326,2,1816,289,1,395,887,341,8,1082,371
9423,227,15,1481,257,1,313,718,270,0,909,309
9424,303,0,1535,232,1,327,756,299,0,951,328
9425,230,5,1666,222,1,314,748,270,0,964,285
9426,227,8,1429,203,1,285,663,235,0,835,265
9427,246,4,1616,207,1,293,733,281,0,963,285
9428,272,2,1668,213,1,310,754,265,0,963,286
9429,238,1,1586,208,1,293,707,239,0,909,263
9431,287,4,1718,249,1,371,821,306,0,1024,349
9432,221,5,1590,219,1,291,718,266,0,913,280
9433,260,1,1630,223,1,329,759,294,4,973,295
9434,278,0,1677,276,1,344,803,312,0,997,325
9435,270,1,1586,250,1,329,765,302,4,969,318
9436,257,3,1717,241,1,332,783,282,0,994,300
9437,271,4,1456,221,1,304,713,290,0,954,306
9438,286,4,1749,218,1,322,791,284,0,1000,301
9439,242,3,1462,195,1,282,690,275,0,903,301
9441,307,4,1577,262,1,379,800,322,0,1004,349
9442,285,4,1749,248,1,346,809,269,12,1027,323
9443,287,9,1522,228,1,326,748,300,4,937,316
9444,256,14,1518,232,1,310,720,276,0,955,274
9445,260,2,1534,255,1,347,751,275,0,993,331
9446,338,3,1934,264,1,391,912,362,0,1084,356
9447,285,5,1535,244,1,340,761,298,0,954,337
9448,241,1,1591,215,1,303,728,259,4,950,298
9449,215,10,1372,202,1,289,639,223,0,820,245
9451,137,0,767,136,1,144,370,147,4,438,145
9452,243,0,1562,213,1,285,701,241,0,829,260
9453,143,3,930,121,1,153,415,154,0,502,156
9501,44,0,296,41,1,44,131,41,0,153,58
9502,75,0,459,58,1,82,209,84,0,233,78
9503,223,1,1443,218,1,284,674,246,4,822,277
9505,202,7,1259,196,1,302,617,241,0,804,261
9506,181,2,1194,211,1,326,602,232,4,810,258
9507,184,2,1196,248,1,356,638,241,0,783,325
9508,186,3,1475,284,1,367,720,235,0,862,330
9509,173,4,1368,270,1,321,661,207,0,758,301
9511,130,1,1074,227,1,279,529,154,0,630,251
9512,211,5,1389,299,1,378,709,230,0,848,324
9513,229,5,1508,316,1,405,766,259,0,952,342
9514,266,1,1739,277,1,384,832,296,0,959,365
9515,196,2,1303,233,1,328,646,237,0,748,285
9516,246,2,1584,261,1,351,763,281,0,922,327
9517,186,1,1538,262,1,320,713,228,0,854,317
9518,234,2,1433,255,1,344,707,252,0,826,308
9519,256,3,1609,266,1,378,790,278,0,922,370
9521,257,1,1674,290,1,418,827,296,0,947,372
9701,161,2,1219,200,1,249,571,204,4,664,245
9702,186,7,1281,240,1,319,640,228,0,760,299
9703,278,9,1659,306,1,352,818,317,0,989,351
9704,253,2,1804,260,1,355,836,318,0,971,352
9705,279,0,1736,261,1,360,836,333,0,954,375
9706,15,0,113,20,1,25,54,19,0,54,24
9707,229,0,1482,199,1,276,679,260,0,805,270
9708,266,20,1813,242,1,358,829,278,0,956,339
9709,312,1,1820,244,1,345,848,342,8,1029,320
9711,206,1,1126,202,1,255,572,239,0,643,259
9712,213,0,1260,188,1,226,593,233,0,656,252
9713,278,4,1735,243,1,286,782,310,0,974,272
9714,287,4,1761,255,1,333,825,334,0,941,326
9715,201,0,1131,134,1,183,521,214,0,580,221
9716,276,2,1705,253,1,320,791,300,0,975,308
9717,274,2,1827,262,1,320,837,329,4,993,330
9718,283,0,1582,244,1,302,755,295,4,859,310
9719,307,1,1498,242,1,308,755,330,0,880,334
9721,226,4,1211,172,1,212,575,249,0,657,226
9722,210,5,1107,160,1,221,543,249,0,634,220
9723,139,1,936,85,1,140,396,156,0,478,127
9724,282,5,1881,224,1,285,824,319,8,978,292
9725,265,2,1782,226,1,282,783,307,0,985,268
9726,213,5,1336,181,1,273,606,215,0,782,201
9727,173,0,789,118,1,166,396,192,0,454,146
9728,306,1,1694,243,1,332,805,341,0,937,303
9729,279,0,1449,215,1,269,708,309,0,802,311
9731,191,4,1017,155,1,189,485,198,0,548,186
9732,21,4,177,16,1,22,71,24,0,76,20
9733,91,1,373,62,1,97,204,93,0,221,99
9734,224,5,1015,191,1,218,535,257,0,603,230
9735,284,7,1402,213,1,275,699,307,0,807,308
9736,244,2,1264,204,1,303,651,281,0,729,306
9737,248,4,1400,244,1,335,715,299,4,782,326
9738,245,10,1427,200,1,302,680,279,4,850,253
9739,235,5,1408,238,1,314,681,276,4,912,244
9741,223,5,1705,161,1,257,679,236,0,1064,129
9742,205,2,1164,153,1,191,530,216,0,669,189
9743,334,2,1905,278,1,404,907,373,0,1159,332
9744,263,3,1623,245,1,343,763,302,4,968,269
9745,260,1,1583,257,1,345,762,307,4,1052,291
9746,293,11,1629,258,1,330,783,321,0,903,290
9747,268,6,1588,278,1,380,797,330,0,989,338
9748,301,4,1646,282,1,353,809,343,0,981,307
9749,245,2,1425,235,1,332,686,253,0,969,252
9751,355,8,1815,288,1,400,908,378,4,1011,384
9752,236,1,1170,240,1,306,626,265,0,721,286
9753,234,8,1214,258,1,315,636,239,0,777,276
9754,211,2,1230,235,1,328,648,278,0,744,308
9755,166,1,954,198,1,242,492,192,4,605,211
9756,274,4,1693,224,1,344,784,315,0,980,282
9801,113,5,659,126,1,163,339,142,4,434,144
9900,0,0,0,0,1,0,0,0,0,0,0
9901,0,0,0,0,1,0,0,0,0,0,0
9902,0,0,0,0,1,0,0,0,0,0,0
